T439_e-e-_w2-w2-
# machine CPUs 
roman 4 
# ct1 ct2 ebeam1 ebeam2 nevents vR alpha23 mr1
0 0 4000. 4000. 90000 5600. 1.572 955.
# process
"e- e- > w2- w2-"
# th13 sigma timestamp
0.000 1.1352 2015:10:20:13:41:18
0.063 2.0263 2015:10:20:13:42:12
0.126 3.0198 2015:10:20:13:43:07
0.188 4.1001 2015:10:20:13:44:13
0.251 4.2093 2015:10:20:13:45:56
0.314 5.0092 2015:10:20:13:46:09
0.377 5.2935 2015:10:20:13:47:24
0.440 5.2541 2015:10:20:13:48:09
0.503 5.7136 2015:10:20:13:49:45
0.565 5.0358 2015:10:20:13:50:18
0.628 6.0200 2015:10:20:13:51:19
0.691 9.0192 2015:10:20:13:52:01
